x,y,category,description
-4.630173,2.1793225,general,Police set up a taskforce to investigate 69-year-old Kimberley McRae's death after the sex worker's body was found in her Coogee home on Tuesday.
-0.21825238,-1.8337728,general,"LUMPKIN, Ga. (AP) — In a locked, guarded courtroom in a compound surrounded by razor wire, Immigration Judge Jerome Rothschild waits -- and stalls.A Spanish interpreter is running late..."
4.8677335,-2.2766955,general,WASHINGTON (AP) — The U.S. Senate opened the impeachment trial of President Donald Trump with quiet ceremony Thursday — senators standing at their desks to swear an oath of “impartial justice” as...
4.264072,-3.6463857,general,"TEHRAN, Iran (AP) — Iran's supreme leader said President Donald Trump is a ""clown"" who only pretends to support the Iranian people but will “push a poisonous dagger” into their backs, as he struck..."
4.397923,-0.49619624,general,WASHINGTON (AP) — Selfies on a “Women for Trump” bus tour through Iowa. Volunteer training at a “Black Voices for Trump” organizing session in Philadelphia. A vice presidential headliner at a...
-0.8481977,1.0322663,general,"LONDON (AP) — Prince Charles, the future king, has long been seen as a potential modernizer who wants a more modest monarchy in line with other European royal households — and the streamlining..."
1.1752377,-0.5655633,general,"WITTENBERG, Germany (AP) — High on the wall of a German church where Martin Luther once preached, an ugly remnant of centuries of anti-Semitism is now at the center of a court battle.The..."
-2.723723,2.466284,general,"TAGAYTAY, Philippines (AP) — An erupting Philippine volcano remains life threatening despite weaker emissions and fewer tremors, an official said Friday and advised thousands of displaced..."
-3.6921008,2.384986,general,"BEIJING (AP) — As the Lunar New Year approaches, Chinese travelers flocked to train stations and airports Friday to take part in a nationwide ritual: the world's biggest annual human..."
-1.2756474,-0.1798634,sports,Cleveland Browns wide receiver Odell Beckham Jr is subject to an arrest warrant from New Orleans police on a charge of alleged simple battery.
-1.3476989,0.49047184,sports,"Margaret Court was a quiet champion, unrivalled in sport but shy in public. Now she is at the centre of a polemic set to play out its latest chapter."
0.9192922,-0.018838007,sports,South Africa pace bowler Kagiso Rabada is banned for the final Test of the series against England following his celebration of Joe Root's dismissal on the first day of the third Test.
3.7459073,4.202698,sports,"Conor McGregor says he is in a ""better place"" than he was a few years ago as he prepares to make his UFC comeback against Donald Cerrone on Saturday."
-1.2864505,-0.58490103,sports,"Watford are a side reborn under Nigel Pearson, but how has he led them from six points adrift to a point above the relegation zone in a month?"
0.7938203,-0.9625862,sports,Carlos Sainz finishes comfortably ahead of defending champion Nasser al-Attiyah to claim his third Dakar Rally title in Saudi Arabia as Fernando Alonso finishes 13th
4.523174,1.9925207,general,"Anchor Wolf Blitzer said on Thursday's broadcast of CNN's ""Situation Room"" that Sen. Martha McSally (R-AZ) calling CNN senior congressional correspondent | Clips"
4.954421,-2.3479111,business,Both Lev Parnas and Michael Cohen have described their fanatical devotion to President Donald Trump as resembling a cult. That has its drawbacks.
-2.755794,-2.0256102,business,FAA investigators are looking into why the Delta flight crew dumped fuel even though they told air traffic control at LAX that they wouldn't.
-5.8196516,-0.624838,business,A top-rated tech and green energy investor explains how he melds a focus on current company fundamentals with an eye on the trends shaping the future.
0.41782603,-1.2840794,business,"The virus, which causes pneumonia-like symptoms and is in the same family as SARS, has killed a second person and spread to Thailand and Japan."
-2.8523095,-5.7248607,business,"Will Eagle got advice from Bad Lip Reading, How to Cake It and others on becoming 'YouTube famous'. He shared his best tips on going viral with us."
-2.1977274,4.022905,business,"Texas-based Pinnacle Logistics plans to lay off 1,609 workers based at Baltimore-Washington International airport, Business Insider has learned."
-5.821381,-0.60504115,business,"General Mills, the company behind brands like Cheerios and Yoplait, is part of a $32 million investment into a line of plant-based seafood products."
4.382072,-0.48792687,business,The call was part of a broad effort from Trump and his allies to push Ukraine to start investigations that would help his 2020 reelection campaign.
-0.46917886,-1.1019648,business,"Interim CEO Robert Fisher said the process of spinning off Old Navy shone a ""bright light on operational inefficiencies and areas for improvement."""
-4.687497,-3.6524618,business,"Beijing would want to stabilize its economy, boost market confidence, and have tariffs reduced, said Eleanor Olcott, China policy analyst at TS Lombard."
-2.8561635,-5.725461,business,Picking the right credit card all depends on your spending habits. Take CNBC Select's quick quiz to find the best credit card for your needs.
2.9995022,-1.715437,general,"Ninety-nine US senators were sworn in Thursday and, with their right hands raised, pledged to do ""impartial justice"" in the impeachment trial of Donald John Trump. (The 100th, Oklahoma's James Inhofe, was back home dealing with a family medical issue and will be sworn in next week.)"
3.4149384,-4.337173,general,A Republican Party leader in Delaware has been kicked out of office after making a comment on Facebook that her colleagues called anti-Semitic.
4.9503584,-2.3219082,general,"Vice President Mike Pence urged Senate Democrats to break ranks and ""stand up against"" the articles of impeachment in a Wall Street Journal op-ed comparing the Senate trial of President Donald Trump to President Andrew Johnson's impeachment trial in 1868."
0.7994971,-3.8182235,general,Several US service members were injured during last week's Iranian missile attack on Al-Asad airbase in Iraq despite the Pentagon initially saying that no casualties had taken place.
4.944627,-2.3459854,general,Secretary of State Mike Pompeo has maintained a persistent silence as stunning new evidence has emerged suggesting the former ambassador to Ukraine may have been illegally surveilled before she was forced out of her job by President Donald Trump.
-0.18091202,0.82718056,entertainment,"The Berlin branch of Madame Tussauds unveiled a new Nicki Minaj wax figure ... but it looks nothing like the ""Anaconda"" rapper. Click for more."
-0.23074734,0.3339387,entertainment,"On 'The Howard Stern Show,' Alec Baldwin shared his emotional reaction to Martin Scorsese's 'The Irishman': 'We're never gonna see these guys do this again.'"
-2.854561,-5.7240686,entertainment,'Supernatural' star Jared Padalecki responded to the 'Star Wars' actor that was his character's inspiration — and show creator Eric Kripke had the best reaction.
1.2403065,4.8126035,entertainment,"Rob Lowe not only costars alongside Liv Tyler in '9-1-1: Lone Star,' but owes her dad, Steven Tyler, a huge debt of gratitude for a tough time in his life."
3.7210157,4.2755265,entertainment,"Netflix's new docuseries 'Killer Inside' shares new information about former NFL star Aaron Hernandez, who was convicted of murder in 2013 and died by suicide four years later."
4.5223684,1.9958959,sports,"Major League Baseball said Thursday that its investigation into stealing signs found no evidence that any Astros players wore electronic devices that would have notified them of certain pitches, including during the 2019 season."
-0.7181946,-0.24475008,sports,"Fabrizio Pasqua will officiate Napoli-Fiorentina this weekend, while Piero Giacomelli is assigned to Lecce-Inter and Marco Di Bello has Juventus-Parma."
-0.8014116,-1.0482225,sports,Atalanta have announced that they&rsquo;ve taken up their option to sign Duvan Zapata on a permanent basis from Sampdoria for a total &euro;26m.
0.848216,0.2867386,sports,"Messages between Leonardo Bonucci and a leading Juventus ultra were published, showing how he tried to smooth over his return with fans and teammates."
-0.10366663,-0.3815629,sports,Hellas Verona defender Amir Rrahmani is undergoing his Napoli medical this morning and will join the club from July in a deal worth &euro;14m.
-0.10776234,3.0107117,sports,"Ashley Young is expected in Milan today for his Inter medical, after reports he stormed out of Manchester United training to force through the move."
2.9263542,-1.6889247,general,The servicemembers were treated for concussion symptoms after Iranian missiles hit air bases in Iraq last week. President Trump had said that “no Americans were harmed.”
4.5214014,2.0070481,general,"Tucker Carlson spent much of his monologue Thursday slamming CNN for their handling of the sexism controversy between Sens. Bernie Sanders, I-Vt., and Elizabeth Warren, D-Mass. after the candidates were caught arguing on a hot mic following Tuesday's Iowa debate."
4.1884303,3.5712836,general,A South Carolina woman who was accused of killing her husband with eye drops pleaded guilty to manslaughter and was sentenced to 25 years in prison Thursday.
2.7498705,4.737045,technology,"The European Union is considering banning facial recognition technology in public areas for up to five years, to give it time to work out how to prevent abuses, according to proposals seen by Reuters."
